RES	NOISE_FRAC	TIME	STATE	COUNTEREXAMPLE	COMMAND
safe	0.001	0.05233645439147949	[0.3430598423470447, -0.5203792736273645, 0.8301687249028403, -0.6331841340512165, 0.5, 7.771561172376097e-18, -0.14586256648048382, 0.47825109691429496]	None	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
safe	0.002	0.0031325817108154297	[0.3430598423470447, -0.5203792736273645, 0.8301687249028403, -0.6331841340512165, 0.5, 7.771561172376097e-18, -0.14586256648048382, 0.47825109691429496]	None	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
safe	0.004	0.3318443298339844	[0.3430598423470447, -0.5203792736273645, 0.8301687249028403, -0.6331841340512165, 0.5, 7.771561172376097e-18, -0.14586256648048382, 0.47825109691429496]	None	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
unsafe	0.016	0.2900428771972656	[0.3430598423470447, -0.5203792736273645, 0.8301687249028403, -0.6331841340512165, 0.5, 7.771561172376097e-18, -0.14586256648048382, 0.47825109691429496]	[0.3750598423470447, -0.5523792736273645, 0.804510302557707, -0.6011841340512165, 0.519881317511853, -0.031999999999999994, -0.11386256648048382, 0.4480264943764206]	13
safe	0.016000000000000014	0.008961200714111328	[0.3430598423470447, -0.5203792736273645, 0.8301687249028403, -0.6331841340512165, 0.5, 7.771561172376097e-18, -0.14586256648048382, 0.47825109691429496]	None	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14]
safe	0.001	0.0026466846466064453	[0.09131943749537336, -0.3190010408620675, -0.4055917115119976, -0.2635095100472383, 0.49999999999999994, 3.552713678800501e-17, 0.20039849912315624, -0.45808344387151373]	None	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.002	0.00269317626953125	[0.09131943749537336, -0.3190010408620675, -0.4055917115119976, -0.2635095100472383, 0.49999999999999994, 3.552713678800501e-17, 0.20039849912315624, -0.45808344387151373]	None	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.004	0.003191232681274414	[0.09131943749537336, -0.3190010408620675, -0.4055917115119976, -0.2635095100472383, 0.49999999999999994, 3.552713678800501e-17, 0.20039849912315624, -0.45808344387151373]	None	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.008	0.003050565719604492	[0.09131943749537336, -0.3190010408620675, -0.4055917115119976, -0.2635095100472383, 0.49999999999999994, 3.552713678800501e-17, 0.20039849912315624, -0.45808344387151373]	None	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.016	0.003363370895385742	[0.09131943749537336, -0.3190010408620675, -0.4055917115119976, -0.2635095100472383, 0.49999999999999994, 3.552713678800501e-17, 0.20039849912315624, -0.45808344387151373]	None	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.032	0.004254341125488281	[0.09131943749537336, -0.3190010408620675, -0.4055917115119976, -0.2635095100472383, 0.49999999999999994, 3.552713678800501e-17, 0.20039849912315624, -0.45808344387151373]	None	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.064	3.944944143295288	[0.09131943749537336, -0.3190010408620675, -0.4055917115119976, -0.2635095100472383, 0.49999999999999994, 3.552713678800501e-17, 0.20039849912315624, -0.45808344387151373]	None	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
unsafe	0.1	25.166218280792236	[0.09131943749537336, -0.3190010408620675, -0.4055917115119976, -0.2635095100472383, 0.49999999999999994, 3.552713678800501e-17, 0.20039849912315624, -0.45808344387151373]	[-0.09561839794112022, -0.5186342723069495, -0.20559171151199757, -0.2591494381284668, 0.29999999999999993, -0.19677979303680693, 0.0003984991231562318, -0.2759064755541235]	1
safe	0.001	0.0034172534942626953	[0.050463781142647914, -0.48263969729433615, -0.4492455873052982, -0.4996851390707968, 0.49999999999999994, -3.1086244689504386e-17, 0.2646164698211166, -0.424238286696769]	None	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.002	0.0034291744232177734	[0.050463781142647914, -0.48263969729433615, -0.4492455873052982, -0.4996851390707968, 0.49999999999999994, -3.1086244689504386e-17, 0.2646164698211166, -0.424238286696769]	None	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.004	0.0027871131896972656	[0.050463781142647914, -0.48263969729433615, -0.4492455873052982, -0.4996851390707968, 0.49999999999999994, -3.1086244689504386e-17, 0.2646164698211166, -0.424238286696769]	None	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.008	0.0033614635467529297	[0.050463781142647914, -0.48263969729433615, -0.4492455873052982, -0.4996851390707968, 0.49999999999999994, -3.1086244689504386e-17, 0.2646164698211166, -0.424238286696769]	None	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.016	0.0030999183654785156	[0.050463781142647914, -0.48263969729433615, -0.4492455873052982, -0.4996851390707968, 0.49999999999999994, -3.1086244689504386e-17, 0.2646164698211166, -0.424238286696769]	None	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.032	0.004242420196533203	[0.050463781142647914, -0.48263969729433615, -0.4492455873052982, -0.4996851390707968, 0.49999999999999994, -3.1086244689504386e-17, 0.2646164698211166, -0.424238286696769]	None	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.064	5.481892108917236	[0.050463781142647914, -0.48263969729433615, -0.4492455873052982, -0.4996851390707968, 0.49999999999999994, -3.1086244689504386e-17, 0.2646164698211166, -0.424238286696769]	None	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
unsafe	0.1	1.977248191833496	[0.050463781142647914, -0.48263969729433615, -0.4492455873052982, -0.4996851390707968, 0.49999999999999994, -3.1086244689504386e-17, 0.2646164698211166, -0.424238286696769]	[0.1721184391624366, -0.28263969729433613, -0.24924558730529817, -0.6996851390707968, 0.29999999999999993, -0.1851742031150557, 0.24750238106688302, -0.22662294170791206]	2
unsafe	0.1	3.1888787746429443	[0.050463781142647914, -0.48263969729433615, -0.4492455873052982, -0.4996851390707968, 0.49999999999999994, -3.1086244689504386e-17, 0.2646164698211166, -0.424238286696769]	[-0.1495362188573521, -0.5722258043974618, -0.24924558730529817, -0.6944115436422033, 0.3001632245148579, 0.07161526838811066, 0.15588057166907987, -0.3204262179736732]	1
safe	0.001	0.003543853759765625	[-0.00960221649772734, -0.4205276663221791, 0.15004577829789423, -0.8943551853180021, 0.5, 0.0, 0.33052267106472555, 0.37517297865416593]	None	[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.002	0.003178119659423828	[-0.00960221649772734, -0.4205276663221791, 0.15004577829789423, -0.8943551853180021, 0.5, 0.0, 0.33052267106472555, 0.37517297865416593]	None	[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.004	0.003026723861694336	[-0.00960221649772734, -0.4205276663221791, 0.15004577829789423, -0.8943551853180021, 0.5, 0.0, 0.33052267106472555, 0.37517297865416593]	None	[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]
unsafe	0.008	0.35067176818847656	[-0.00960221649772734, -0.4205276663221791, 0.15004577829789423, -0.8943551853180021, 0.5, 0.0, 0.33052267106472555, 0.37517297865416593]	[0.00639778350227266, -0.4365276663221791, 0.1525945317023356, -0.8835248064434199, 0.484, -0.016, 0.31452267106472553, 0.3591729786541659]	2
safe	0.008000000000000007	0.0036056041717529297	[-0.00960221649772734, -0.4205276663221791, 0.15004577829789423, -0.8943551853180021, 0.5, 0.0, 0.33052267106472555, 0.37517297865416593]	None	[0, 1, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.001	0.0027959346771240234	[-0.0840630362035447, -0.40608295959098467, 0.042924955222258886, 0.07752230302889215, 0.5, 1.7763568394002505e-17, -0.48230843854556, -0.13182780475963252]	None	[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.002	0.002794981002807617	[-0.0840630362035447, -0.40608295959098467, 0.042924955222258886, 0.07752230302889215, 0.5, 1.7763568394002505e-17, -0.48230843854556, -0.13182780475963252]	None	[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.004	0.0031402111053466797	[-0.0840630362035447, -0.40608295959098467, 0.042924955222258886, 0.07752230302889215, 0.5, 1.7763568394002505e-17, -0.48230843854556, -0.13182780475963252]	None	[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.008	0.003231525421142578	[-0.0840630362035447, -0.40608295959098467, 0.042924955222258886, 0.07752230302889215, 0.5, 1.7763568394002505e-17, -0.48230843854556, -0.13182780475963252]	None	[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
unsafe	0.016	0.3704357147216797	[-0.0840630362035447, -0.40608295959098467, 0.042924955222258886, 0.07752230302889215, 0.5, 1.7763568394002505e-17, -0.48230843854556, -0.13182780475963252]	[-0.0520630362035447, -0.3740829595909847, 0.01711324101902264, 0.08794201140143096, 0.5314202574795552, 0.019476876606427433, -0.45030843854556, -0.16382780475963252]	0
safe	0.016	0.003892660140991211	[-0.0840630362035447, -0.40608295959098467, 0.042924955222258886, 0.07752230302889215, 0.5, 1.7763568394002505e-17, -0.48230843854556, -0.13182780475963252]	None	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
safe	0.001	0.003206491470336914	[-0.2279472544918738, -0.606058789112895, -0.6597839201357653, -0.35403280988541647, 0.5, 0.0, -0.00234256760269961, -0.49999451234691245]	None	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
