RES	NOISE_FRAC	TIME	STATE	COUNTEREXAMPLE	COMMAND
safe	0.032	1.9015822410583496	[-0.80107737, 0.120946534, 0.16404426, -0.03657847, -0.042204965, 0.027174478, 1.0, 1.0]	None	3
unsafe	0.04200000000000003	1.223853349685669	[-0.89423245, 0.058262452, 0.9681679, -0.2782008, -0.4088696, -0.007399977, 1.0, 0.0]	[-0.978232451915741, -0.36173754751682313, 0.5481679010391232, -0.00046186958145091883, -0.14497581143401322, 0.39844333573148905, 0.958, -0.04200000000000003]	0
unsafe	0.04200000000000004	1.325028657913208	[-0.89423245, 0.058262452, 0.9681679, -0.2782008, -0.4088696, -0.007399977, 1.0, 0.0]	[-0.978232451915741, -0.3617375475168232, 0.5481679010391232, -0.011543868803491314, -0.14497581143401317, 0.4126000228151683, 0.958, -0.020252379366712456]	0
safe	0.04800000000000003	1.8733820915222168	[-0.8899588, 0.055486258, 1.1352956, -0.32801107, -0.40887532, -3.3477097e-09, 1.0, 0.0]	None	0
safe	0.032	1.2934610843658447	[-0.82649034, 0.08119212, 0.22008896, -0.07501253, -0.029579232, 0.14696774, 1.0, 1.0]	None	3
safe	0.04200000000000003	1.3521673679351807	[-0.8729156, 0.044407092, 0.46849886, -0.13535929, -0.4088747, 3.027667e-09, 1.0, 1.0]	None	3
unsafe	0.04400000000000004	1.0705759525299072	[-0.8729156, 0.044407092, 0.46849886, -0.13535929, -0.4088747, 3.027667e-09, 1.0, 1.0]	[-0.7952686507745774, 0.48440709203481713, 0.0284988558292385, -0.5753592872619633, -0.1324145370167823, 0.4400000030276674, 0.956, 0.956]	3
unsafe	0.04800000000000003	1.4310622215270996	[-0.8774069, 0.047326837, 0.5632101, -0.16272338, -0.40887573, -1.9311508e-09, 1.0, 1.0]	[-0.9373962030082792, 0.41557898918615166, 0.08321012973785369, -0.6427233773469928, -0.10728283886934759, 0.4799999980688495, 0.952, 0.952]	3
safe	0.04400000000000003	1.3502070903778076	[-0.8774069, 0.047326837, 0.5632101, -0.16272338, -0.40887573, -1.9311508e-09, 1.0, 1.0]	None	3
unsafe	0.04800000000000004	1.1795260906219482	[-0.8774069, 0.047326837, 0.5632101, -0.16272338, -0.40887573, -1.9311508e-09, 1.0, 1.0]	[-0.9734068951606751, 0.4378306084801977, 0.08321012973785358, -0.6427233773469929, -0.10728283886934747, 0.47999999806884963, 0.952, 0.952]	3
safe	0.04800000000000003	1.5747835636138916	[-0.880167, 0.04912077, 0.67260176, -0.19432896, -0.4088752, 5.273001e-09, 1.0, 1.0]	None	3
safe	0.04800000000000003	1.061192274093628	[-0.88125664, 0.049829017, 0.80015326, -0.23118131, -0.408875, 2.4553732e-09, 1.0, 1.0]	None	3
unsafe	0.06000000000000005	1.110011339187622	[-0.88125664, 0.049829017, 0.80015326, -0.23118131, -0.408875, 2.4553732e-09, 1.0, 1.0]	[-0.7631508647272811, 0.512981192248785, 0.20015325546264595, -0.6638814471075265, -0.03188387012513272, 0.6000000024553738, 1.06, 0.94]	3
safe	0.05800000000000005	2.9988667964935303	[-0.88125664, 0.049829017, 0.80015326, -0.23118131, -0.408875, 2.4553732e-09, 1.0, 1.0]	None	3
safe	0.064	2.938485860824585	[-0.8807026, 0.049468957, 0.94896346, -0.27417573, -0.40887517, -6.1379786e-09, 1.0, 1.0]	None	3
unsafe	0.07405468750000005	2.1397762298583984	[-0.8807026, 0.049468957, 0.94896346, -0.27417573, -0.40887517, -6.1379786e-09, 1.0, 1.0]	[-1.0, 0.5019114025507462, 0.2084165883064265, -0.6919387339686643, 0.05642415705793352, 0.5289147352491351, 0.9259453124999999, 0.9259453124999999]	3
unsafe	0.07401953125000008	2.1553869247436523	[-0.8807026, 0.049468957, 0.94896346, -0.27417573, -0.40887517, -6.1379786e-09, 1.0, 1.0]	[-1.0, 0.5020624234418802, 0.2087681508064263, -0.6919400463725003, 0.056203263824478156, 0.5288071672107056, 0.92598046875, 0.92598046875]	3
unsafe	0.07400195312500006	1.949044942855835	[-0.8807026, 0.049468957, 0.94896346, -0.27417573, -0.40887517, -6.1379786e-09, 1.0, 1.0]	[-0.8476432825359468, 0.6161984151244435, 0.20894393205642636, -0.6907510362062574, 0.056092817207750334, 0.5643837460712082, 0.9593068397081095, 1.074001953125]	3
safe	0.064	1.6466047763824463	[-0.87850434, 0.048039876, 1.121297, -0.32396653, -0.40887496, 5.789177e-09, 1.0, 1.0]	None	3
unsafe	0.08200000000000005	5.862377166748047	[-0.87850434, 0.048039876, 1.121297, -0.32396653, -0.40887496, 5.789177e-09, 1.0, 1.0]	[-0.7145043358802794, 0.47426502874870735, 0.3012970018386836, -0.7218969864302991, 0.10634623643514052, 0.6953427874755376, 1.082, 0.9476260382578477]	3
safe	0.07750000000000005	5.9507362842559814	[-0.87850434, 0.048039876, 1.121297, -0.32396653, -0.40887496, 5.789177e-09, 1.0, 1.0]	None	3
unsafe	0.08200000000000007	2.6847610473632812	[-0.87850434, 0.048039876, 1.121297, -0.32396653, -0.40887496, 5.789177e-09, 1.0, 1.0]	[-0.7145043358802794, 0.47426502874871423, 0.30129700183868335, -0.721896986430302, 0.10634623643514074, 0.6953427874755405, 1.082, 0.9476260382578549]	3
safe	0.082	3.962423801422119	[-0.87462586, 0.04551867, 1.3207186, -0.38158372, -0.40887517, 5.405785e-09, 1.0, 1.0]	None	3
unsafe	0.0955	4.4794793128967285	[-0.87462586, 0.04551867, 1.3207186, -0.38158372, -0.40887517, 5.405785e-09, 1.0, 1.0]	[-0.6934795360994064, 0.6426599084325992, 0.36571864604949944, -0.7672649389501098, 0.18099132529974796, 0.9550000054057852, 0.9045, 0.9045]	3
unsafe	0.09325000000000001	4.932157516479492	[-0.87462586, 0.04551867, 1.3207186, -0.38158372, -0.40887517, 5.405785e-09, 1.0, 1.0]	[-1.0, 0.978018670231104, 0.3882186460494994, -0.7628289746194152, 0.17703186252465397, 0.9325000054057853, 0.90675, 0.90675]	3
unsafe	0.09325000000000006	6.136025428771973	[-0.87462586, 0.04551867, 1.3207186, -0.38158372, -0.40887517, 5.405785e-09, 1.0, 1.0]	[-1.0, 0.83834776292562, 0.38821864604949896, -0.7739437252667716, 0.1770318625246542, 0.9325000054057857, 0.90675, 0.90675]	3
safe	0.1	7.240936517715454	[-0.8689662, 0.041839324, 1.5542481, -0.44905534, -0.408875, -7.3268778e-09, 1.0, 1.0]	None	3
unsafe	0.032	1.060373067855835	[-0.9002995, 0.062208377, 0.775416, -0.22403418, -0.40887502, -4.265758e-10, 1.0, 0.0]	[-0.9642994894981385, -0.2577916231751442, 0.4554160165786743, 0.08110880194610814, -0.20781308852848382, 0.3199999995734242, 0.968, -0.014211189129649294]	0
unsafe	0.03200000000000003	1.0212905406951904	[-0.9002995, 0.062208377, 0.775416, -0.22403418, -0.40887502, -4.265758e-10, 1.0, 0.0]	[-0.9642994894981385, -0.2577916231751445, 0.45541601657867403, 0.095965824723244, -0.20781308852848365, 0.3190027806238549, 0.968, -0.0163501297700827]	0
safe	0.02600000000000002	1.494997501373291	[-0.7861471, 0.04489647, 0.044650137, -0.064168975, -0.02964763, -0.10374689, 1.0, 1.0]	None	3
safe	0.02800000000000002	1.3183019161224365	[-0.8150797, 0.028626762, 0.111509934, -0.06258537, -0.15137048, -0.22873092, 1.0, 1.0]	None	3
unsafe	0.04800000000000003	1.0607781410217285	[-0.8935463, 0.05781921, 1.0483629, -0.29822955, -0.40887803, -0.022658281, 1.0, 0.0]	[-0.982855157354094, -0.4221807900071147, 0.568362851142883, -0.10873098410299692, -0.10728513364817144, 0.4573417189717296, 0.952, -0.04800000000000003]	0
safe	0.04400000000000003	1.5086612701416016	[-0.8935463, 0.05781921, 1.0483629, -0.29822955, -0.40887803, -0.022658281, 1.0, 0.0]	None	0
unsafe	0.04800000000000004	1.9805517196655273	[-0.8935463, 0.05781921, 1.0483629, -0.29822955, -0.40887803, -0.022658281, 1.0, 0.0]	[-0.9895462832450868, -0.42218079000711484, 0.5683628511428829, -0.034433575431147806, -0.10728513364817133, 0.4573417189717297, 1.048, 0.019689387623084628]	0
safe	0.04200000000000003	2.845081329345703	[-0.8625473, 0.037666593, 0.27780443, -0.05944239, -0.4088745, 0.101146184, 1.0, 1.0]	None	3
unsafe	0.04400000000000003	1.6614136695861816	[-0.8771433, 0.047155105, 0.40867954, -0.11807621, -0.40887508, 1.5302508e-09, 1.0, 1.0]	[-0.7891433234214782, 0.48559448661541943, -0.03132045507431064, -0.5580762127041821, -0.1324149244469734, 0.44000000153025115, 1.040454161051727, 0.956]	3
safe	0.04200000000000003	1.7826557159423828	[-0.8771433, 0.047155105, 0.40867954, -0.11807621, -0.40887508, 1.5302508e-09, 1.0, 1.0]	None	3
unsafe	0.04400000000000004	1.398522138595581	[-0.8771433, 0.047155105, 0.40867954, -0.11807621, -0.40887508, 1.5302508e-09, 1.0, 1.0]	[-0.8512979008886385, 0.4849116167099444, -0.031320455074310694, -0.5580762127041821, -0.13241492444697334, 0.4400000015302512, 0.956, 0.956]	3
safe	0.04400000000000003	1.9400138854980469	[-0.8817294, 0.050136432, 0.4937068, -0.1426424, -0.40887514, 6.29611e-09, 1.0, 1.0]	None	3
safe	0.04400000000000003	1.2224862575531006	[-0.884679, 0.05205389, 0.5918466, -0.17099707, -0.408875, 4.2630495e-09, 1.0, 1.0]	None	3
unsafe	0.04800000000000004	1.6501898765563965	[-0.884679, 0.05205389, 0.5918466, -0.17099707, -0.408875, 4.2630495e-09, 1.0, 1.0]	[-0.9116445410906897, 0.5320538911223416, 0.11184658527374225, -0.6159881615157248, -0.10728209381128778, 0.4800000042630499, 0.952, 0.952]	3
safe	0.04800000000000003	1.4659714698791504	[-0.8860624, 0.05295318, 0.70632505, -0.20407233, -0.40887523, -6.571809e-10, 1.0, 1.0]	None	3
unsafe	0.05800000000000005	1.0525338649749756	[-0.8860624, 0.05295318, 0.70632505, -0.20407233, -0.40887523, -6.571809e-10, 1.0, 1.0]	[-0.9197752445512427, 0.46430019128662425, 0.12632505416870066, -0.6622383358409063, -0.04445047915807099, 0.5799999993428195, 0.942, 0.942]	3
unsafe	0.05800000000000005	1.0179147720336914	[-0.8860624, 0.05295318, 0.70632505, -0.20407233, -0.40887523, -6.571809e-10, 1.0, 1.0]	[-0.9197752445512427, 0.46430019128662425, 0.12632505416870066, -0.6622383358409063, -0.04445047915807099, 0.5799999993428195, 0.942, 0.942]	3
